PV power,Direct-in-plane,Sun Height,Air Temperature,Wind speed,month,day,hour_minute
71.97,98.24,12.55,7.11,4.69,1,10,14
49.09,71.96,8.23,7.33,5.45,1,10,15
0.0,0.9,2.23,7.19,5.66,1,10,16
0.0,1.8,2.75,11.96,7.17,1,11,9
12.44,26.94,8.67,11.97,6.97,1,11,10
15.66,31.43,12.88,11.8,6.62,1,11,11
9.99,23.35,15.06,11.54,6.07,1,11,12
10.0,23.35,15.01,11.24,5.24,1,11,13
15.1,30.53,12.72,10.6,4.69,1,11,14
22.13,39.75,8.4,9.92,3.86,1,11,15
0.0,0.9,2.41,9.3,3.38,1,11,16
19.46,35.37,2.84,4.7,3.1,1,12,9
307.15,354.73,8.78,4.74,2.83,1,12,10
504.84,582.39,13.02,5.21,2.9,1,12,11
583.52,678.53,15.22,5.7,2.97,1,12,12
575.98,670.89,15.17,6.13,2.97,1,12,13
255.53,299.86,12.89,6.31,3.1,1,12,14
191.5,229.75,8.58,5.87,3.17,1,12,15
1.05,8.08,2.59,5.34,2.76,1,12,16
2.36,10.78,2.95,7.53,9.1,1,13,9
17.37,33.22,8.9,7.67,9.93,1,13,10
10.22,23.35,13.16,7.59,10.21,1,13,11
6.61,17.96,15.38,7.73,9.93,1,13,12
25.73,44.0,15.35,7.36,8.41,1,13,13
180.89,216.43,13.08,6.23,6.76,1,13,14
153.62,187.67,8.77,6.69,7.24,1,13,15
0.0,4.49,2.78,6.82,6.97,1,13,16
0.0,4.49,3.06,3.96,3.52,1,14,9
9.17,21.55,9.03,3.88,3.17,1,14,10
73.97,99.36,13.31,3.58,2.34,1,14,11
39.52,60.16,15.54,3.4,2.34,1,14,12
397.45,452.54,15.53,3.38,3.45,1,14,13
20.46,36.82,13.26,3.86,3.72,1,14,14
132.21,163.29,8.96,4.15,3.59,1,14,15
0.66,7.18,2.97,3.97,3.59,1,14,16
19.98,35.92,3.18,3.77,4.76,1,15,9
329.48,375.88,9.17,4.21,4.9,1,15,10
524.39,596.99,13.46,5.18,5.17,1,15,11
541.22,623.19,15.71,6.01,4.07,1,15,12
545.06,623.65,15.71,6.65,5.86,1,15,13
109.2,139.4,13.46,6.83,5.66,1,15,14
122.32,153.88,9.16,6.74,4.97,1,15,15
9.03,21.72,3.17,6.19,4.21,1,15,16
0.0,5.39,3.3,8.58,7.24,1,16,9
8.93,21.55,9.31,8.71,7.31,1,16,10
31.19,51.18,13.63,9.26,7.52,1,16,11
17.15,33.22,15.89,9.92,7.24,1,16,12
127.09,161.11,15.91,10.06,6.97,1,16,13
248.32,292.99,13.66,8.77,5.93,1,16,14
271.24,319.63,9.37,8.18,4.76,1,16,15
0.0,2.69,3.37,7.79,4.48,1,16,16
92.05,118.42,3.44,2.17,2.9,1,17,9
353.31,402.7,9.46,2.48,2.76,1,17,10
526.56,605.7,13.8,3.42,2.41,1,17,11
581.46,671.5,16.08,4.28,2.97,1,17,12
511.35,584.69,16.11,5.08,4.34,1,17,13
196.6,233.81,13.87,5.4,3.93,1,17,14
131.51,163.44,9.57,5.21,2.97,1,17,15
8.53,20.85,3.58,4.87,2.62,1,17,16
46.65,66.96,3.57,-0.94,0.9,1,18,9
374.29,429.86,9.62,0.37,0.41,1,18,10
522.41,614.47,13.97,1.78,0.07,1,18,11
598.33,721.44,16.27,4.04,0.07,1,18,12
570.87,686.23,16.31,4.94,0.21,1,18,13
232.14,276.5,14.08,5.18,0.28,1,18,14
105.51,135.45,9.79,5.04,0.55,1,18,15
27.69,46.65,3.79,4.41,1.03,1,18,16
0.0,5.39,3.72,-3.02,1.52,1,19,9
66.36,88.99,9.78,-1.04,1.52,1,19,10
522.57,599.64,14.15,1.85,1.86,1,19,11
600.15,699.17,16.47,3.77,2.07,1,19,12
564.14,657.89,16.52,4.86,2.14,1,19,13
507.73,588.41,14.3,5.22,2.55,1,19,14
226.67,268.06,10.01,5.01,2.48,1,19,15
29.16,48.32,4.01,4.04,2.41,1,19,16
110.95,138.73,3.87,1.2,2.28,1,20,9
339.57,388.05,9.96,2.11,2.14,1,20,10
532.77,617.38,14.34,3.96,2.0,1,20,11
571.39,667.42,16.68,5.34,2.28,1,20,12
582.45,682.09,16.74,6.21,2.55,1,20,13
472.17,550.12,14.52,6.71,2.55,1,20,14
273.75,322.64,10.23,6.58,2.48,1,20,15
45.71,68.98,4.23,5.91,2.28,1,20,16
3.97,13.47,4.03,3.36,1.45,1,21,9
245.5,288.26,10.13,4.23,1.1,1,21,10
101.68,131.42,14.54,5.64,0.97,1,21,11
92.6,122.05,16.89,6.5,1.03,1,21,12
39.48,61.06,16.97,7.15,1.1,1,21,13
34.26,54.78,14.75,7.51,1.1,1,21,14
190.62,232.19,10.46,7.57,0.9,1,21,15
27.52,46.81,4.46,7.34,1.03,1,21,16
0.64,7.18,4.2,5.94,1.03,1,22,9
23.63,41.31,10.32,6.47,0.9,1,22,10
47.94,71.08,14.74,7.13,1.03,1,22,11
106.44,138.06,17.11,7.58,1.17,1,22,12
95.89,126.48,17.2,8.08,1.31,1,22,13
58.79,84.19,14.99,8.4,1.38,1,22,14
60.07,85.43,10.7,8.42,1.31,1,22,15
11.75,25.74,4.69,8.3,1.31,1,22,16
79.82,106.36,4.37,4.41,0.41,1,23,9
115.49,145.95,10.51,4.68,0.28,1,23,10
272.22,322.21,14.95,5.25,0.07,1,23,11
273.33,324.48,17.34,5.9,0.21,1,23,12
262.74,312.79,17.43,6.37,0.34,1,23,13
77.87,105.51,15.23,6.59,0.55,1,23,14
57.39,81.87,10.94,6.68,0.55,1,23,15
5.5,16.16,4.92,6.64,0.62,1,23,16
0.28,6.29,4.55,4.79,1.38,1,24,9
85.63,112.77,10.7,5.07,1.45,1,24,10
112.47,143.2,15.17,5.56,1.52,1,24,11
66.44,92.28,17.57,5.85,1.52,1,24,12
112.92,144.44,17.67,6.2,1.52,1,24,13
38.13,59.27,15.47,6.55,1.59,1,24,14
36.86,57.69,11.18,6.76,1.59,1,24,15
12.17,26.16,5.16,6.69,1.31,1,24,16
6.11,17.06,4.73,5.74,2.97,1,25,9
20.22,36.82,10.91,6.11,3.1,1,25,10
47.93,70.94,15.39,6.66,2.97,1,25,11
73.15,100.11,17.81,7.23,4.62,1,25,12
46.3,69.14,17.92,7.37,4.07,1,25,13
51.38,75.13,15.72,7.63,4.14,1,25,14
168.37,205.58,11.43,7.63,3.72,1,25,15
7.2,18.86,5.4,7.28,3.24,1,25,16
180.61,217.48,4.92,5.12,3.24,1,26,9
23.17,40.41,11.12,4.76,3.52,1,26,10
231.51,271.26,15.62,4.51,3.24,1,26,11
380.39,437.66,18.05,4.77,2.97,1,26,12
303.91,352.73,18.18,5.14,2.83,1,26,13
209.05,248.3,15.98,5.44,2.97,1,26,14
272.23,318.69,11.68,5.43,2.83,1,26,15
35.59,56.18,5.65,5.19,2.83,1,26,16
192.09,226.49,5.12,1.44,3.31,1,27,9
447.06,506.88,11.33,2.16,3.24,1,27,10
453.5,516.82,15.85,3.14,3.1,1,27,11
146.15,178.83,18.3,4.2,3.79,1,27,12
124.6,155.82,18.43,4.94,4.83,1,27,13
185.54,221.85,16.24,5.31,4.55,1,27,14
81.6,108.41,11.94,5.09,3.79,1,27,15
90.76,120.05,5.9,4.3,3.66,1,27,16
128.17,157.28,5.32,1.83,4.83,1,28,9
28.57,46.69,11.55,2.26,5.1,1,28,10
44.27,65.55,16.09,3.0,5.93,1,28,11
576.59,651.09,18.55,3.59,6.0,1,28,12
590.2,668.57,18.7,4.12,6.0,1,28,13
448.6,507.95,16.51,4.21,5.66,1,28,14
402.99,459.59,12.2,4.49,5.38,1,28,15
182.49,221.94,6.15,3.89,5.52,1,28,16
190.42,226.0,5.53,2.92,3.52,1,29,9
317.64,364.21,11.78,4.09,3.86,1,29,10
242.48,284.24,16.34,5.59,3.72,1,29,11
570.55,660.83,18.82,6.72,4.07,1,29,12
161.03,197.85,18.97,7.79,4.0,1,29,13
86.09,115.03,16.78,8.12,4.62,1,29,14
84.1,112.51,12.47,8.21,4.55,1,29,15
9.56,22.45,6.41,8.14,4.41,1,29,16
5.44,16.16,5.75,8.6,3.31,1,30,9
53.67,78.06,12.01,9.08,3.59,1,30,10
259.27,308.09,16.59,9.63,3.72,1,30,11
62.38,88.9,19.08,10.02,4.83,1,30,12
225.85,270.84,19.24,10.1,5.45,1,30,13
227.78,272.73,17.05,10.0,5.31,1,30,14
136.58,172.01,12.74,10.1,5.38,1,30,15
23.5,41.67,6.67,9.84,5.1,1,30,16
183.92,225.56,5.97,10.24,4.28,1,31,9
157.52,195.22,12.25,10.53,4.21,1,31,10
280.95,333.57,16.85,10.91,4.41,1,31,11
519.06,612.46,19.35,11.15,4.07,1,31,12
329.98,390.31,19.52,11.21,4.28,1,31,13
133.72,169.9,17.33,11.18,4.9,1,31,14
46.65,70.5,13.01,11.37,4.69,1,31,15
27.22,46.75,6.93,11.38,5.17,1,31,16
25.16,43.01,6.19,6.56,6.48,2,1,9
48.82,71.72,12.5,6.99,6.69,2,1,10
59.17,84.13,17.11,7.53,5.79,2,1,11
57.62,82.61,19.63,8.27,7.72,2,1,12
215.76,257.5,19.81,8.84,7.93,2,1,13
313.24,365.24,17.62,9.01,6.62,2,1,14
372.4,434.48,13.29,8.8,4.83,2,1,15
101.11,133.53,7.2,8.44,4.28,2,1,16
101.95,132.17,6.43,7.75,4.34,2,2,9
318.58,370.91,12.75,8.29,4.97,2,2,10
165.09,202.9,17.38,9.0,4.41,2,2,11
658.07,774.56,19.91,9.41,4.62,2,2,12
576.95,675.91,20.09,9.93,4.83,2,2,13
215.54,258.35,17.9,9.32,5.86,2,2,14
128.68,162.63,13.57,9.17,5.72,2,2,15
81.04,110.58,7.47,9.11,5.59,2,2,16
67.69,92.48,6.67,4.79,3.86,2,3,9
258.3,300.63,13.01,5.1,3.93,2,3,10
359.74,414.87,17.65,5.76,3.66,2,3,11
246.03,288.62,20.2,6.41,5.66,2,3,12
169.43,205.86,20.39,6.71,5.66,2,3,13
545.37,625.49,18.2,6.61,5.59,2,3,14
435.36,499.87,13.85,6.34,5.45,2,3,15
206.01,249.81,7.74,5.98,4.69,2,3,16
67.78,92.58,6.91,4.8,4.21,2,4,9
384.97,442.41,13.27,5.59,3.86,2,4,10
549.71,639.18,17.93,6.54,3.24,2,4,11
674.9,792.7,20.49,7.37,3.86,2,4,12
697.91,817.97,20.69,7.97,4.76,2,4,13
583.75,679.29,18.49,8.34,4.76,2,4,14
287.34,338.75,14.14,8.3,3.72,2,4,15
224.71,274.63,8.02,8.01,2.76,2,4,16
137.73,167.11,7.16,-0.2,1.86,2,5,9
395.51,453.58,13.54,2.43,1.72,2,5,10
458.22,533.26,18.22,5.36,1.86,2,5,11
614.54,726.12,20.79,6.7,2.34,2,5,12
622.8,732.89,20.99,7.72,3.31,2,5,13
236.81,282.17,18.79,8.01,3.17,2,5,14
308.0,362.51,14.43,8.15,3.24,2,5,15
109.92,143.35,8.3,7.94,2.62,2,5,16
5.02,15.27,7.41,4.4,2.34,2,6,9
31.0,50.29,13.81,5.38,2.62,2,6,10
36.7,57.47,18.51,6.47,2.48,2,6,11
86.4,115.41,21.09,7.47,4.21,2,6,12
358.79,417.5,21.3,8.08,4.48,2,6,13
291.79,342.57,19.09,8.03,4.07,2,6,14
210.88,252.61,14.72,7.79,4.21,2,6,15
130.41,165.82,8.58,7.31,3.93,2,6,16
2.38,10.78,7.67,6.64,5.03,2,7,9
12.12,26.04,14.09,7.27,5.31,2,7,10
33.59,53.88,18.8,7.72,5.45,2,7,11
82.8,111.54,21.4,8.13,6.14,2,7,12
13.31,27.84,21.61,8.74,6.0,2,7,13
10.74,24.25,19.4,9.15,5.45,2,7,14
127.24,161.35,15.02,9.33,5.52,2,7,15
14.54,29.63,8.86,9.59,6.0,2,7,16
63.48,87.47,7.94,3.99,4.76,2,8,9
385.36,439.41,14.37,4.91,5.1,2,8,10
86.09,114.34,19.1,6.26,4.55,2,8,11
263.66,309.56,21.71,7.5,5.66,2,8,12
383.44,441.54,21.92,8.02,7.24,2,8,13
69.45,96.15,19.71,8.05,7.45,2,8,14
34.3,54.78,15.32,8.07,8.21,2,8,15
8.96,21.55,9.15,8.0,7.86,2,8,16
0.99,8.08,8.21,11.45,9.45,2,9,9
15.82,31.43,14.66,10.06,9.79,2,9,10
42.15,64.65,19.41,9.65,9.31,2,9,11
136.4,171.3,22.03,9.15,9.38,2,9,12
73.15,100.57,22.24,8.47,9.59,2,9,13
397.78,458.55,20.03,8.69,7.38,2,9,14
28.48,47.59,15.62,8.16,9.24,2,9,15
236.06,282.97,9.44,7.53,8.41,2,9,16
0.0,0.9,1.93,6.92,8.76,2,9,17
3.44,12.57,8.49,3.38,5.31,2,10,9
15.68,30.53,14.95,3.65,5.24,2,10,10
16.35,31.43,19.71,3.67,5.17,2,10,11
143.31,175.52,22.35,3.57,5.38,2,10,12
21.19,37.71,22.57,3.79,5.52,2,10,13
369.87,418.56,20.34,3.42,6.48,2,10,14
66.47,91.08,15.92,3.57,6.07,2,10,15
263.31,307.28,9.73,2.82,7.79,2,10,16
0.67,7.18,2.21,2.62,7.59,2,10,17
210.32,244.57,8.77,1.26,6.14,2,11,9
148.53,179.11,15.25,2.02,5.24,2,11,10
24.85,42.2,20.03,2.87,5.03,2,11,11
15.03,29.63,22.67,3.39,5.66,2,11,12
30.55,49.39,22.89,3.89,5.72,2,11,13
87.95,114.97,20.66,3.11,5.93,2,11,14
459.38,520.39,16.23,3.21,5.17,2,11,15
2.45,10.78,10.02,2.55,4.97,2,11,16
16.53,35.15,2.48,2.41,6.55,2,11,17
95.45,121.62,9.05,0.59,2.97,2,12,9
250.16,289.35,15.55,1.74,2.41,2,12,10
434.21,496.61,20.35,2.98,2.69,2,12,11
584.97,676.98,23.0,4.3,3.03,2,12,12
659.85,770.04,23.22,5.04,3.24,2,12,13
441.3,507.5,20.99,5.64,4.0,2,12,14
181.53,219.25,16.54,5.83,3.03,2,12,15
39.22,60.31,10.31,5.6,2.97,2,12,16
0.0,5.39,2.76,4.83,3.24,2,12,17
96.79,124.94,9.34,4.5,3.45,2,13,9
480.69,556.93,15.86,5.4,2.55,2,13,10
645.11,756.14,20.67,6.81,3.45,2,13,11
73.24,100.57,23.34,7.56,4.48,2,13,12
72.37,99.67,23.56,7.79,4.48,2,13,13
76.31,104.07,21.31,7.66,4.34,2,13,14
96.07,125.77,16.85,6.87,3.86,2,13,15
40.46,61.95,10.61,6.37,3.52,2,13,16
0.0,3.59,3.04,6.01,2.69,2,13,17
0.0,1.66,1.87,9.49,6.41,2,14,8
11.97,26.04,9.64,9.65,6.28,2,14,9
130.92,165.38,16.17,9.54,5.86,2,14,10
602.24,700.99,21.0,9.45,5.86,2,14,11
535.39,622.03,23.67,9.27,5.72,2,14,12
199.15,241.7,23.9,9.56,5.52,2,14,13
96.07,127.3,21.64,9.63,5.59,2,14,14
300.31,354.06,17.17,9.34,4.69,2,14,15
64.13,90.6,10.9,8.87,4.14,2,14,16
1.02,8.08,3.33,8.14,3.52,2,14,17
0.0,1.66,2.16,8.73,7.86,2,15,8
9.53,22.45,9.94,8.77,8.07,2,15,9
169.18,206.44,16.48,8.91,7.93,2,15,10
46.69,70.04,21.33,9.32,7.45,2,15,11
75.67,104.16,24.01,9.96,7.66,2,15,12
58.56,84.41,24.24,10.32,7.31,2,15,13
33.2,53.88,21.97,10.15,6.48,2,15,14
8.86,21.55,17.48,9.93,5.66,2,15,15
3.3,12.57,11.2,9.78,7.24,2,15,16
5.65,17.07,3.61,8.05,6.28,2,15,17
0.0,4.97,2.45,4.13,5.45,2,16,8
367.46,420.63,10.24,4.59,6.0,2,16,9
368.08,419.78,16.8,5.33,6.34,2,16,10
704.82,805.7,21.66,6.05,7.38,2,16,11
413.84,472.07,24.36,6.26,7.52,2,16,12
697.51,796.48,24.58,6.3,8.0,2,16,13
266.23,310.07,22.31,6.66,8.48,2,16,14
35.41,55.67,17.8,5.85,6.9,2,16,15
25.99,44.0,11.5,5.34,8.14,2,16,16
29.96,53.3,3.89,4.73,7.72,2,16,17
0.42,6.63,2.74,4.84,5.24,2,17,8
56.27,79.73,10.55,4.98,5.59,2,17,9
129.9,161.62,17.13,5.34,5.59,2,17,10
68.53,94.29,22.0,5.48,5.79,2,17,11
93.13,121.99,24.71,5.53,6.07,2,17,12
703.57,806.43,24.93,5.35,6.41,2,17,13
665.71,758.49,22.65,4.89,6.55,2,17,14
513.32,584.02,18.12,4.89,6.0,2,17,15
302.86,353.08,11.8,3.76,5.59,2,17,16
66.5,102.22,4.18,3.76,6.55,2,17,17
0.0,4.97,3.04,4.22,4.55,2,18,8
292.86,339.07,10.86,4.62,4.83,2,18,9
44.52,66.45,17.46,5.29,5.24,2,18,10
31.03,50.29,22.35,5.53,5.79,2,18,11
263.97,308.71,25.06,5.77,5.1,2,18,12
269.6,314.02,25.28,5.65,6.14,2,18,13
111.23,142.06,22.98,5.65,5.86,2,18,14
430.78,491.48,18.44,5.04,5.66,2,18,15
305.79,356.74,12.11,4.3,6.0,2,18,16
10.24,23.56,4.46,3.69,6.14,2,18,17
0.0,3.32,3.34,4.6,4.07,2,19,8
25.19,43.1,11.18,5.79,4.41,2,19,9
35.23,55.67,17.79,6.69,4.76,2,19,10
81.29,109.49,22.69,7.25,5.38,2,19,11
85.89,114.94,25.41,7.62,5.79,2,19,12
70.81,97.88,25.63,7.98,5.59,2,19,13
63.68,89.8,23.33,8.4,5.45,2,19,14
100.09,131.08,18.77,8.5,5.38,2,19,15
25.52,44.0,12.41,8.78,5.45,2,19,16
2.34,10.78,4.75,8.95,5.52,2,19,17
52.38,77.37,3.65,3.28,5.66,2,20,8
341.43,389.02,11.5,2.78,5.38,2,20,9
579.21,657.09,18.13,3.08,4.76,2,20,10
174.41,208.54,23.04,3.24,6.07,2,20,11
109.94,139.71,25.77,3.75,5.66,2,20,12
472.64,537.66,25.99,4.69,5.72,2,20,13
663.87,760.28,23.67,5.37,6.0,2,20,14
427.44,487.79,19.09,5.64,6.41,2,20,15
336.45,393.02,12.71,5.49,6.07,2,20,16
66.55,101.27,5.04,5.28,5.66,2,20,17
29.59,50.17,3.96,8.15,6.41,2,21,8
9.55,22.45,11.82,8.43,6.55,2,21,9
26.97,45.8,18.47,8.62,6.55,2,21,10
106.84,138.91,23.4,8.92,6.69,2,21,11
17.22,33.22,26.13,9.13,6.55,2,21,12
33.37,53.88,26.35,9.12,6.41,2,21,13
35.59,56.57,24.01,8.97,6.21,2,21,14
101.83,133.24,19.42,9.0,6.28,2,21,15
15.24,30.53,13.02,9.04,6.28,2,21,16
35.94,61.0,5.33,9.08,6.28,2,21,17
15.22,30.52,4.27,5.28,6.41,2,22,8
254.45,296.78,12.15,5.48,6.62,2,22,9
127.21,159.12,18.81,5.9,6.41,2,22,10
295.05,341.01,23.75,6.27,8.14,2,22,11
291.31,338.04,26.5,6.63,8.07,2,22,12
126.54,159.61,26.71,6.75,7.24,2,22,13
90.19,119.08,24.36,6.51,7.31,2,22,14
154.96,189.82,19.74,6.36,7.17,2,22,15
74.9,101.78,13.33,6.21,6.07,2,22,16
7.26,18.86,5.62,6.05,5.24,2,22,17
10.22,23.39,4.59,5.56,4.76,2,23,8
41.33,62.55,12.48,4.91,4.07,2,23,9
231.92,272.83,19.16,4.77,3.38,2,23,10
627.48,729.04,24.11,5.19,3.45,2,23,11
656.3,768.14,26.86,6.17,3.59,2,23,12
345.21,402.33,27.07,6.53,3.38,2,23,13
204.74,245.91,24.71,6.47,3.38,2,23,14
106.26,137.26,20.07,6.43,3.17,2,23,15
78.04,105.72,13.63,6.31,2.48,2,23,16
7.84,19.76,5.9,6.05,1.59,2,23,17
2.31,10.78,4.91,10.31,6.34,2,24,8
62.16,88.27,12.81,10.08,6.55,2,24,9
148.88,185.25,19.51,9.27,6.76,2,24,10
209.26,250.67,24.48,7.93,6.76,2,24,11
215.92,257.33,27.23,6.83,6.41,2,24,12
666.24,766.86,27.44,6.96,6.76,2,24,13
492.07,563.81,25.06,7.53,7.24,2,24,14
377.3,435.46,20.4,7.6,6.69,2,24,15
304.29,358.88,13.94,7.03,5.93,2,24,16
104.6,148.81,6.19,6.19,5.38,2,24,17
68.87,95.63,5.23,2.22,4.21,2,25,8
11.14,24.25,13.15,2.44,3.93,2,25,9
78.05,104.16,19.86,3.02,3.66,2,25,10
45.69,67.35,24.84,3.34,4.34,2,25,11
167.16,202.03,27.61,3.61,4.9,2,25,12
20.49,36.82,27.8,3.74,5.79,2,25,13
87.64,114.94,25.41,3.55,6.76,2,25,14
12.38,26.04,20.73,3.43,6.14,2,25,15
48.67,70.63,14.25,2.86,5.93,2,25,16
23.23,41.04,6.48,2.25,5.24,2,25,17
29.2,47.85,5.56,1.03,3.17,2,26,8
290.46,334.34,13.49,1.68,2.76,2,26,9
544.65,623.17,20.21,2.82,3.17,2,26,10
719.77,833.33,25.21,3.99,4.21,2,26,11
577.07,664.31,27.98,4.77,4.21,2,26,12
576.77,665.0,28.17,5.17,4.28,2,26,13
613.94,709.83,25.77,5.38,4.21,2,26,14
238.31,280.6,21.06,5.14,4.14,2,26,15
140.72,174.7,14.56,4.52,3.45,2,26,16
33.38,54.71,6.78,3.83,2.9,2,26,17
165.58,204.31,5.89,0.12,2.48,2,27,8
376.51,431.19,13.84,1.15,2.0,2,27,9
634.41,734.83,20.57,2.83,2.62,2,27,10
762.14,895.34,25.59,4.13,3.31,2,27,11
815.2,958.58,28.36,5.22,4.41,2,27,12
808.25,953.17,28.54,5.98,4.41,2,27,13
540.16,625.91,26.12,6.36,4.0,2,27,14
578.8,674.48,21.4,6.28,3.52,2,27,15
364.08,430.27,14.87,6.37,3.1,2,27,16
113.34,159.27,7.07,6.04,2.48,2,27,17
85.59,116.81,6.23,7.24,4.14,2,28,8
28.37,47.59,14.18,8.63,4.69,2,28,9
77.22,105.83,20.94,9.38,4.69,2,28,10
101.19,133.49,25.96,9.66,4.28,2,28,11
186.3,229.14,28.74,9.95,4.21,2,28,12
221.03,268.27,28.92,10.35,4.28,2,28,13
353.76,417.4,26.48,10.56,4.69,2,28,14
408.58,481.37,21.73,10.48,4.21,2,28,15
89.82,120.93,15.18,10.49,3.93,2,28,16
74.59,110.53,7.36,10.13,3.38,2,28,17
182.82,223.2,6.23,1.14,4.9,2,29,8
127.73,157.18,14.18,1.6,4.48,2,29,9
354.68,401.5,20.94,2.57,5.86,2,29,10
168.65,202.99,25.96,3.77,7.52,2,29,11
226.7,265.77,28.74,4.57,9.59,2,29,12
141.03,173.42,28.92,3.81,8.48,2,29,13
94.52,122.12,26.48,2.91,8.9,2,29,14
33.08,52.08,21.73,2.05,6.62,2,29,15
99.2,127.03,15.18,2.26,6.48,2,29,16
94.09,131.26,7.36,3.75,8.48,2,29,17
76.19,103.17,6.57,1.88,4.97,3,1,8
30.76,49.39,14.53,2.4,4.62,3,1,9
473.93,536.47,21.3,3.18,5.1,3,1,10
707.74,814.61,26.34,4.13,5.03,3,1,11
263.18,307.65,29.12,4.84,4.9,3,1,12
304.8,354.28,29.29,5.46,4.83,3,1,13
421.69,485.16,26.83,5.9,4.9,3,1,14
522.58,600.9,22.06,5.69,4.83,3,1,15
281.23,330.84,15.49,5.25,4.83,3,1,16
97.48,136.12,7.65,4.74,3.93,3,1,17
0.69,7.18,6.91,0.77,3.79,3,2,8
237.67,276.37,14.89,1.83,3.31,3,2,9
606.84,691.16,21.67,2.89,4.48,3,2,10
687.09,791.14,26.72,3.88,4.62,3,2,11
125.4,157.61,29.5,4.62,4.62,3,2,12
814.34,956.43,29.67,5.09,4.55,3,2,13
285.11,332.32,27.19,5.35,4.69,3,2,14
149.34,183.57,22.39,5.1,5.03,3,2,15
107.56,137.89,15.8,4.86,4.62,3,2,16
136.02,184.22,7.94,3.92,5.03,3,2,17
149.94,186.91,7.25,2.07,2.97,3,3,8
414.24,476.48,15.24,3.12,2.69,3,3,9
578.57,664.17,22.04,4.37,4.14,3,3,10
