Discharge(Wh),Charge(Wh),Production(Wh),Consumption(Wh),Feed-in(Wh),From grid(Wh),State of Charge(%),Month,Day,Hour
0.4,5.430000000000001,0.03,12.0,0.0,17.15,2.0,1,2,8
12.01,5.140000000000001,19.06,41.42,0.0,15.61,1.0,1,2,9
0.0,85.77,91.37,12.74,0.37,7.51,1.0,1,2,10
0.0,219.03,219.41,2.0700000000000003,0.39,2.08,1.0,1,2,11
0.0,319.63,356.6,48.05,0.72,11.8,2.0,1,2,12
0.0,467.72,469.18,6.41,0.35,5.3,4.0,1,2,13
0.0,439.38,442.0,6.94,0.36,4.68,9.0,1,2,14
13.32,68.57000000000001,92.19,53.65,0.0,16.71,13.0,1,2,15
0.39,5.98,2.5100000000000002,8.97,0.0,12.05,14.0,1,2,16
0.33,6.65,0.0,15.23,0.0,21.56,13.0,1,2,17
35.04,4.640000000000001,0.0,55.65,0.0,25.25,13.0,1,2,18
0.0,8.18,0.0,17.11,0.0,25.29,12.0,1,2,19
0.0,7.96,0.0,16.7,0.0,24.66,12.0,1,2,20
35.77,4.67,0.2,56.19,0.0,24.89,12.0,1,2,21
0.0,7.800000000000001,0.0,17.27,0.0,25.07,12.0,1,2,22
0.0,7.800000000000001,0.0,18.09,0.0,25.89,11.0,1,2,23
0.0,7.199999999999999,0.0,1602.08,0.0,1609.28,0.0,1,3,0
0.0,7.199999999999999,0.0,53.14,0.0,60.34,0.0,1,3,1
0.0,7.199999999999999,0.0,26.24,0.0,33.44,0.0,1,3,2
0.0,7.364999999999999,0.0,60.985,0.0,68.35,0.0,1,3,3
0.0,7.199999999999999,0.0,25.56,0.0,32.760000000000005,0.0,1,3,4
0.0,7.199999999999999,0.0,57.67,0.0,64.87,0.0,1,3,5
0.0,7.199999999999999,0.0,25.84,0.0,33.04,0.0,1,3,6
0.1,10.52,4.8100000000000005,56.7,0.0,62.31,0.0,1,3,7
0.27,224.38,223.55,18.59,0.52,19.67,0.0,1,3,8
0.0,533.49,568.58,45.8,0.62,11.33,1.0,1,3,9
0.0,1038.44,1049.94,14.34,3.2800000000000002,6.12,5.0,1,3,10
0.0,1104.06,1128.25,28.45,2.66,6.92,15.0,1,3,11
0.0,1528.82,1565.35,38.8,6.989999999999999,9.26,26.0,1,3,12
0.0,1205.78,1215.68,15.34,1.95,7.39,41.0,1,3,13
0.0,926.12,966.37,50.1,2.4699999999999998,12.32,53.0,1,3,14
0.0,822.55,822.66,6.7700000000000005,0.55,7.21,61.0,1,3,15
0.0,325.5,359.69,47.12,2.75,15.68,70.0,1,3,16
1652.97,5.180000000000001,58.09,1867.25,16.27,177.64000000000001,73.0,1,3,17
2384.21,0.0,3.0300000000000002,2783.81,6.3,415.22,54.0,1,3,18
2019.59,1.93,0.21,4165.55,3.57,2151.94,25.0,1,3,19
0.0,7.2299999999999995,0.0,5498.35,0.0,5505.58,0.0,1,3,20
0.0,7.22,0.0,5781.78,0.0,5789.0,0.0,1,3,21
0.0,7.21,0.0,5986.38,0.0,5993.59,0.0,1,3,22
0.0,7.199999999999999,0.0,5776.19,0.0,5783.39,0.0,1,3,23
288.15,0.0,0.33,335.59,0.84,54.36,11.0,1,4,0
287.71999999999997,0.0,0.54,283.77,4.17,15.87,6.0,1,4,1
166.37,3.0,0.64,280.68,3.26,125.42999999999999,3.0,1,4,2
0.0,7.404999999999999,0.0,304.44,0.0,311.845,0.0,1,4,3
0.0,7.41,0.0,261.58,0.0,268.99,0.0,1,4,4
0.0,7.21,0.0,297.79,0.0,305.0,0.0,1,4,5
0.0,7.48,0.0,258.43,0.0,265.91,0.0,1,4,6
0.03,5.47,0.05,233.87,0.0,239.26,0.0,1,4,7
0.0,111.47,111.81,195.44,0.0,195.1,0.0,1,4,8
0.0,543.86,544.05,552.03,0.0,551.84,0.0,1,4,9
0.0,721.9399999999999,721.83,344.79,0.0,344.9,4.0,1,4,10
0.0,911.36,911.55,281.86,0.0,281.67,12.0,1,4,11
0.0,1399.89,1399.85,1537.07,0.0,1537.11,20.0,1,4,12
0.0,1094.59,1094.95,515.69,0.0,515.33,34.0,1,4,13
0.0,1360.49,1359.33,326.0,0.0,327.16,44.0,1,4,14
0.0,1144.33,1144.07,57.75,0.0,58.01,58.0,1,4,15
0.0,820.69,820.85,346.82,0.0,346.66,70.0,1,4,16
0.0,428.94,429.14,3610.84,0.0,3610.64,77.0,1,4,17
0.0,108.74,108.99,304.74,0.0,304.49,83.0,1,4,18
0.3,11.57,11.61,90.84,0.0,90.5,83.0,1,4,19
0.03,5.64,0.03,214.45,0.0,220.03,83.0,1,4,20
0.0,7.21,0.0,540.16,0.0,547.37,83.0,1,4,21
0.0,7.27,0.0,523.0699999999999,0.0,530.34,83.0,1,4,22
0.0,7.199999999999999,0.0,420.95,0.0,428.15,82.0,1,4,23
0.0,7.199999999999999,0.0,0.0,0.0,7.199999999999999,99.0,1,5,0
0.0,127.085,0.0,0.0,0.0,127.085,98.0,1,5,1
0.0,7.199999999999999,0.0,0.0,0.0,7.199999999999999,100.0,1,5,2
0.0,7.199999999999999,0.0,0.0,0.0,7.199999999999999,100.0,1,5,3
0.0,7.199999999999999,0.0,0.0,0.0,7.199999999999999,100.0,1,5,4
0.0,7.42,0.0,0.0,0.0,7.42,100.0,1,5,5
0.0,4.1,0.0,0.19,0.0,4.29,100.0,1,5,6
0.05,150.15,143.37,0.93,0.30000000000000004,8.01,99.0,1,5,7
78.23,21.16,665.57,727.48,1.19,6.03,99.0,1,5,8
63.08,146.19,602.44,522.3199999999999,1.44,4.43,99.0,1,5,9
207.26,169.41,1001.18,1042.02,2.0300000000000002,5.02,100.0,1,5,10
101.16,334.28,1041.32,810.36,1.98,4.14,97.0,1,5,11
185.31,187.07,1685.99,1683.935,2.7,2.4050000000000002,100.0,1,5,12
222.24,111.12,1666.35,1777.67,1.9000000000000001,2.1,98.0,1,5,13
19.479999999999997,292.81,1567.98,1293.02,2.51,0.88,98.0,1,5,14
30.85,0.6900000000000001,1432.52,1460.93,2.84,1.09,100.0,1,5,15
27.3,114.7,1036.49,947.82,1.72,0.45,100.0,1,5,16
43.73,0.21,552.52,594.76,2.05,0.77,100.0,1,5,17
0.06,0.31,228.19,227.11,1.29,0.46,100.0,1,5,18
0.03,18.29,55.18,41.34,0.47000000000000003,4.89,100.0,1,5,19
0.14,20.37,16.32,2.89,0.0,6.88,99.0,1,5,20
0.06,6.359999999999999,0.0,0.19,0.0,6.49,99.0,1,5,21
0.0,7.199999999999999,0.0,0.0,0.0,7.199999999999999,99.0,1,5,22
0.0,7.199999999999999,0.0,0.0,0.0,7.199999999999999,99.0,1,5,23
27.88,311.77,0.08,64.24,0.0,348.05,10.0,1,6,0
17.51,6.5200000000000005,0.0,40.46,0.0,29.47,12.0,1,6,1
23.43,5.88,0.0,46.22,0.0,28.67,12.0,1,6,2
39.76,4.46,0.05,65.02,0.0,29.67,11.0,1,6,3
0.0,7.800000000000001,0.0,21.99,0.0,29.79,11.0,1,6,4
32.35,3.3000000000000003,0.03,66.26,0.0,37.18,10.0,1,6,5
0.14,103.34,102.48,30.87,0.0,31.59,10.0,1,6,6
0.0,468.28000000000003,467.85,53.46,0.0,53.89,10.0,1,6,7
0.0,748.41,788.02,54.29,0.25,14.93,13.0,1,6,8
0.0,1212.82,1219.67,14.09,0.03,7.2700000000000005,20.0,1,6,9
872.49,653.47,1513.34,2592.8,1.86,862.3000000000001,32.0,1,6,10
78.28,1588.0,1726.62,228.72,9.11,20.93,29.0,1,6,11
583.94,301.78,1709.12,2111.32,17.14,137.18,43.0,1,6,12
374.69,534.34,1691.08,1581.12,44.99,94.68,40.0,1,6,13
66.74,990.28,1570.6200000000001,646.24,24.22,23.38,41.0,1,6,14
0.0,1363.74,1381.05,35.12,0.19,18.0,49.0,1,6,15
0.0,994.13,1050.97,83.94,0.53,27.63,62.0,1,6,16
0.0,580.29,620.6800000000001,58.04,0.04,17.69,72.0,1,6,17
0.11,189.6,224.3,46.56,0.0,11.75,77.0,1,6,18
365.78,0.09,82.56,489.13,0.42,41.3,81.0,1,6,19
2030.03,0.35000000000000003,68.64,2399.7599999999998,9.59,311.03,75.0,1,6,20
304.63,0.21000000000000002,4.32,334.76,12.51,38.53,52.0,1,6,21
123.22,0.22999999999999998,1.1800000000000002,151.13,0.0,26.96,47.0,1,6,22
38.96,0.72,0.52,69.26,0.0,30.5,45.0,1,6,23
35.13,5.09,0.16,59.37,0.26,29.43,98.0,1,7,0
0.0,7.800000000000001,0.0,20.43,0.0,28.23,97.0,1,7,1
36.01,4.68,0.38,60.0,0.0,28.29,97.0,1,7,2
0.0,7.800000000000001,0.0,19.73,0.0,27.53,96.0,1,7,3
36.08,4.65,0.31,58.4,0.0,26.66,96.0,1,7,4
0.03,7.59,0.0,18.92,0.0,26.48,95.0,1,7,5
0.35,2.6,1.83,51.67,0.0,52.09,95.0,1,7,6
0.0,109.64,110.2,2.74,0.23,2.41,95.0,1,7,7
0.4,68.59,104.98,52.51,0.14,15.86,95.0,1,7,8
0.0,317.9,318.68,5.5,0.27,4.99,95.0,1,7,9
0.0,207.13,527.06,60.1,265.59,5.76,95.0,1,7,10
0.0,0.03,338.76,27.39,311.34,0.0,100.0,1,7,11
0.0,0.12,398.37,63.16,335.09,0.0,100.0,1,7,12
0.0,0.5800000000000001,969.05,41.03,927.44,0.0,100.0,1,7,13
0.05,0.91,1283.2,66.75,1215.59,0.0,100.0,1,7,14
838.48,250.2,694.86,44.47,1245.04,6.37,100.0,1,7,15
0.0,804.9,825.01,27.66,0.89,8.44,90.0,1,7,16
0.06,82.28,420.18,52.21,289.45,3.7,95.0,1,7,17
0.18,0.06,227.1,32.69,194.53,0.0,100.0,1,7,18
10.39,0.0,108.56,61.63,63.98,6.66,100.0,1,7,19
0.49,3.94,21.79,24.69,4.96,11.31,100.0,1,7,20
36.71,2.45,0.08,53.25,0.0,19.66,100.0,1,7,21
0.0,7.42,0.0,19.41,0.0,26.830000000000002,99.0,1,7,22
34.73,4.64,0.06,58.79,0.0,28.64,99.0,1,7,23
25.12,5.46,0.06,46.62,0.0,26.9,98.0,1,8,0
22.03,6.180000000000001,0.0,44.195,0.0,28.345,97.0,1,8,1
4.45,7.36,0.0,23.21,0.0,26.12,97.0,1,8,2
26.46,5.5600000000000005,0.0,48.23,0.0,27.330000000000002,96.0,1,8,3
25.79,5.5600000000000005,0.0,48.36,0.0,28.13,96.0,1,8,4
0.0,7.800000000000001,0.0,46.32,0.0,54.12,95.0,1,8,5
0.0,9.870000000000001,6.3149999999999995,14.65,0.115,18.32,95.0,1,8,6
0.0,84.34,84.38,28.19,0.15,28.3,95.0,1,8,7
0.13,516.84,542.59,35.09,0.32,9.53,95.0,1,8,8
0.0,69.4,340.2,46.25,224.92,0.37000000000000005,95.0,1,8,9
0.06,0.1,512.38,45.39,466.95,0.0,100.0,1,8,10
0.1,0.55,1106.71,46.98,1059.28,0.0,100.0,1,8,11
0.0,0.54,590.53,54.12,535.87,0.0,100.0,1,8,12
2.21,0.39,666.9399999999999,56.53,612.23,0.0,100.0,1,8,13
0.0,0.15,469.34000000000003,52.839999999999996,416.35,0.0,100.0,1,8,14
0.94,140.13,320.06,133.59,55.56,8.28,100.0,1,8,15
49.39,39.96,158.41,183.15,0.68,15.99,99.0,1,8,16
9.41,86.48,142.65,57.43,22.44,14.290000000000001,99.0,1,8,17
32.36,0.06,60.93,72.56,32.97,12.3,100.0,1,8,18
4.92,48.2,147.93,66.67999999999999,46.47,8.5,100.0,1,8,19
16.36,39.72,52.25,39.04,1.1700000000000002,11.32,99.0,1,8,20
26.13,2.3,0.36,41.96,0.0,17.84,99.0,1,8,21
17.21,6.37,0.03,38.69,0.0,27.82,98.0,1,8,22
60.58,5.84,0.34,82.89,0.0,27.81,98.0,1,8,23
46.28,3.37,0.0,72.51,0.0,29.599999999999998,98.0,1,9,0
0.0,7.26,0.0,20.77,0.0,28.03,97.0,1,9,1
47.23,3.36,0.0,72.63,0.0,28.76,97.0,1,9,2
0.0,7.21,0.0,19.42,0.0,26.63,96.0,1,9,3
40.769999999999996,4.1,0.0,65.32,0.0,28.65,96.0,1,9,4
7.26,6.96,0.0,28.37,0.0,28.07,95.0,1,9,5
0.0,7.800000000000001,0.0,47.07,0.0,54.87,94.0,1,9,6
0.16,3.8200000000000003,1.9,29.79,0.07,31.62,94.0,1,9,7
0.0,76.46,92.13,25.05,0.38,9.76,94.0,1,9,8
0.0,619.95,692.82,51.769999999999996,37.69,16.59,94.0,1,9,9
0.06,0.99,1500.54,41.24,1458.37,0.0,100.0,1,9,10
0.03,1.49,1542.22,86.74,1454.02,0.0,100.0,1,9,11
0.08,1.25,1456.34,45.9,1409.27,0.0,100.0,1,9,12
0.06,1.22,1470.6,90.7,1378.74,0.0,100.0,1,9,13
0.06,0.72,1259.68,40.56,1218.46,0.0,100.0,1,9,14
0.26,0.38,792.39,81.16,711.11,0.0,100.0,1,9,15
0.19,132.41,616.73,29.65,456.66,1.8,100.0,1,9,16
0.0,24.07,244.85,76.86,147.4,3.48,100.0,1,9,17
0.0,0.03,144.84,27.009999999999998,117.8,0.0,100.0,1,9,18
40.82,0.0,25.14,80.67999999999999,2.6100000000000003,17.33,100.0,1,9,19
0.0,5.34,0.0,19.34,0.0,24.68,99.0,1,9,20
48.7,3.14,0.0,75.55,0.0,29.99,99.0,1,9,21
0.0,7.22,0.0,21.63,0.0,28.849999999999998,98.0,1,9,22
42.87,3.7199999999999998,0.0,69.14,0.0,29.99,98.0,1,9,23
24.29,5.59,0.05,45.11,0.0,26.36,13.0,1,10,0
23.52,5.8500000000000005,0.42000000000000004,46.11,0.0,28.02,13.0,1,10,1
12.62,7.17,0.37,34.75,0.0,28.93,12.0,1,10,2
32.12,5.07,0.05,55.15,0.0,28.05,12.0,1,10,3
3.53,7.3100000000000005,0.0,22.95,0.0,26.73,12.0,1,10,4
0.0,7.52,0.0,54.65,0.0,62.17,11.0,1,10,5
0.0,7.78,0.0,18.75,0.0,26.53,11.0,1,10,6
0.0,7.9,0.0,53.83,0.0,61.73,11.0,1,10,7
1.4,3.17,0.44,12.3,0.1,13.73,11.0,1,10,8
76.28999999999999,122.27,297.71,806.42,7.510000000000001,562.2,11.0,1,10,9
0.03,84.0,231.77,1400.48,0.0,1252.68,10.0,1,10,10
23.17,714.38,798.58,121.80999999999999,1.81,16.25,10.0,1,10,11
8.1,519.3,540.38,41.93,0.0,12.75,16.0,1,10,12
141.75,791.36,870.94,240.0,5.59,24.26,22.0,1,10,13
28.79,303.76,520.45,270.93,8.969999999999999,34.42,27.0,1,10,14
0.0,665.4399999999999,677.61,21.83,0.0,9.66,29.0,1,10,15
0.0,333.93,357.74,32.52,0.22,8.93,37.0,1,10,16
17.16,235.6,252.89000000000001,47.9,0.05,13.5,38.0,1,10,17
0.5700000000000001,12.93,13.34,3.95,0.01,2.98,41.0,1,10,18
904.09,1.87,1.1900000000000002,935.03,2.92,36.690000000000005,40.0,1,10,19
0.0,7.800000000000001,0.0,19.21,0.0,27.01,29.0,1,10,20
33.56,4.76,0.0,57.06,0.0,28.26,29.0,1,10,21
0.0,7.63,0.0,20.4,0.0,28.03,29.0,1,10,22
34.31,4.52,0.03,58.66,0.0,28.84,28.0,1,10,23
0.0,7.199999999999999,0.0,55.04,0.0,62.24,9.0,1,11,0
0.0,7.199999999999999,0.0,30.65,0.0,37.85,9.0,1,11,1
0.0,7.659999999999999,0.0,45.81,0.0,53.47,9.0,1,11,2
0.0,7.199999999999999,0.0,48.92,0.0,56.12,9.0,1,11,3
0.0,7.199999999999999,0.0,23.310000000000002,0.0,30.51,9.0,1,11,4
0.0,887.89,0.0,49.21,0.0,937.1,8.0,1,11,5
0.0,1999.69,0.0,20.6,0.0,2020.29,15.0,1,11,6
0.0,1999.57,0.41000000000000003,55.1,0.0,2054.26,34.0,1,11,7
1.79,143.03,0.16,6.03,0.23,147.68,54.0,1,11,8
49.370000000000005,43.81,53.65,70.49,0.69,11.97,56.0,1,11,9
169.44,4.62,18.61,194.47,4.98,16.02,55.0,1,11,10
0.98,59.04,60.88,4.04,0.42,1.6400000000000001,53.0,1,11,11
1907.45,2.95,134.64,2107.62,1.6199999999999999,70.1,53.0,1,11,12
1770.84,0.08,136.54,2106.7,0.55,199.95,31.0,1,11,13
0.0,3.22,26.21,1989.43,0.0,1966.44,10.0,1,11,14
0.13,3.11,2.36,2117.96,0.0,2118.58,10.0,1,11,15
253.23,378.05,1.28,2417.9900000000002,61.61,2603.14,10.0,1,11,16
0.1,99.37,0.73,1951.18,0.0,2049.72,9.0,1,11,17
0.0,7.199999999999999,0.0,527.79,0.0,534.99,10.0,1,11,18
0.0,7.199999999999999,0.0,395.92,0.0,403.12,10.0,1,11,19
0.0,7.199999999999999,0.0,437.85,0.0,445.05,10.0,1,11,20
0.0,7.199999999999999,0.0,441.52,0.0,448.72,10.0,1,11,21
0.0,7.199999999999999,0.0,404.66,0.0,411.86,10.0,1,11,22
0.0,7.199999999999999,0.0,71.86,0.0,79.06,10.0,1,11,23
0.0,7.2299999999999995,0.0,19.22,0.0,26.45,96.0,1,12,0
25.16,5.37,0.36,47.25,0.0,27.1,96.0,1,12,1
5.87,7.9,0.07,26.895,0.0,28.855,95.0,1,12,2
0.0,7.199999999999999,0.0,16.8,0.0,24.0,95.0,1,12,3
32.31,4.6899999999999995,0.08,54.49,0.0,26.79,94.0,1,12,4
0.0,681.8199999999999,0.0,18.09,0.0,699.91,94.0,1,12,5
0.0,7.199999999999999,0.0,49.52,0.0,56.72,100.0,1,12,6
0.0,7.6,0.0,20.49,0.0,28.09,100.0,1,12,7
0.0,7.7,0.0,17.39,0.0,25.09,100.0,1,12,8
31.85,2.18,0.98,45.67,0.25,15.32,100.0,1,12,9
0.0,152.43,167.57,6.97,11.95,3.7800000000000002,99.0,1,12,10
0.12,36.385,421.25,59.475,326.13,0.62,99.0,1,12,11
0.11,0.38,764.36,31.98,732.11,0.0,100.0,1,12,12
0.03,0.12,619.17,41.53,577.55,0.0,100.0,1,12,13
0.06,0.09,121.58,51.12,70.43,0.0,100.0,1,12,14
1.07,1.49,13.165000000000001,17.87,0.37,5.495,100.0,1,12,15
34.46,2.92,0.19,49.37,0.28,20.52,99.0,1,12,16
0.0,7.26,0.0,16.86,0.0,24.12,98.0,1,12,17
27.91,4.96,0.47000000000000003,50.45,0.0,27.03,98.0,1,12,18
2.3200000000000003,7.06,0.05,20.22,0.0,24.91,98.0,1,12,19
0.0,7.25,0.0,17.05,0.0,24.3,98.0,1,12,20
28.38,4.6899999999999995,0.24,51.19,0.0,27.26,97.0,1,12,21
0.0,7.199999999999999,0.0,16.810000000000002,0.0,24.01,97.0,1,12,22
29.55,4.56,0.03,52.13,0.0,27.11,96.0,1,12,23
18.66,6.24,0.0,38.99,0.0,26.57,20.0,1,13,0
12.41,6.6000000000000005,0.0,31.91,0.0,26.1,19.0,1,13,1
0.78,7.67,0.0,18.59,0.0,25.48,19.0,1,13,2
28.725,5.415,0.0,49.88,0.0,26.57,19.0,1,13,3
0.0,7.800000000000001,0.0,17.04,0.0,24.84,18.0,1,13,4
30.58,5.04,0.0,53.17,0.0,27.63,18.0,1,13,5
0.0,7.800000000000001,0.0,17.310000000000002,0.0,25.11,18.0,1,13,6
30.57,4.91,0.0,53.03,0.0,27.37,18.0,1,13,7
0.0,7.66,0.0,15.99,0.0,23.650000000000002,17.0,1,13,8
15.62,3.09,0.0,7.41,0.0,10.35,17.0,1,13,9
25.8,0.0,0.0,0.0,0.0,0.0,16.0,1,13,10
25.8,0.0,0.0,0.0,0.0,0.0,16.0,1,13,11
25.79,0.0,0.0,0.0,0.0,0.0,16.0,1,13,12
25.8,0.0,0.0,0.0,0.0,0.0,15.0,1,13,13
25.8,0.0,0.0,0.0,0.0,0.0,15.0,1,13,14
25.8,0.0,0.0,0.0,0.0,0.0,15.0,1,13,15
45.99,0.0,0.0,44.45,0.0,14.8,14.0,1,13,16
18.82,6.16,0.12,36.91,0.0,24.13,14.0,1,13,17
32.62,4.83,0.0,53.67,0.0,25.88,13.0,1,13,18
0.0,7.800000000000001,0.0,16.59,0.0,24.39,13.0,1,13,19
31.57,4.94,0.0,52.589999999999996,0.0,25.96,13.0,1,13,20
0.0,7.800000000000001,0.0,17.2,0.0,25.0,12.0,1,13,21
30.55,5.04,0.0,51.41,0.0,25.9,12.0,1,13,22
0.0,7.800000000000001,0.0,16.630000000000003,0.0,24.43,11.0,1,13,23
8.42,7.15,0.05,26.71,0.0,25.39,11.0,1,14,0
23.88,5.71,0.0,43.8,0.0,25.63,11.0,1,14,1
0.0,7.800000000000001,0.0,17.970000000000002,0.0,25.77,10.0,1,14,2
31.18,5.470000000000001,0.51,54.48,0.05,28.31,10.0,1,14,3
0.0,7.800000000000001,0.0,17.17,0.0,24.97,9.0,1,14,4
11.43,6.76,0.11,31.5,0.0,26.72,9.0,1,14,5
19.26,5.82,0.16,39.839999999999996,0.0,26.24,9.0,1,14,6
0.0,7.82,0.0,16.14,0.0,23.96,9.0,1,14,7
33.26,4.8500000000000005,0.19,53.55,0.0,24.95,8.0,1,14,8
0.0,5.82,0.0,11.09,0.0,16.91,8.0,1,14,9
0.63,19.28,16.02,9.82,0.0,12.540000000000001,6.0,1,14,10
0.24,169.9,206.1,45.99,1.21,10.76,6.0,1,14,11
0.0,114.29,113.77,6.68,0.33,7.53,8.0,1,14,12
0.0,668.2,700.33,40.59,1.77,10.23,8.0,1,14,13
0.3,242.06,247.84,13.860000000000001,0.22,8.0,14.0,1,14,14
0.0,206.15,207.52,5.85,0.65,5.13,16.0,1,14,15
33.18,2.95,5.04,45.18,0.17,11.39,18.0,1,14,16
0.0,7.66,0.0,16.71,0.0,24.37,18.0,1,14,17
0.0,7.800000000000001,0.0,17.32,0.0,25.119999999999997,17.0,1,14,18
32.37,4.8,0.05,54.27,0.0,26.65,17.0,1,14,19
0.0,7.800000000000001,0.0,17.52,0.0,25.32,17.0,1,14,20
22.56,5.8500000000000005,0.24,43.6,0.0,26.65,16.0,1,14,21
11.219999999999999,6.71,0.13,29.900000000000002,0.0,25.259999999999998,16.0,1,14,22
0.0,7.800000000000001,0.0,17.89,0.0,25.69,16.0,1,14,23
33.89,4.8100000000000005,0.3,55.69,0.0,26.31,16.0,1,15,0
0.0,7.800000000000001,0.0,17.04,0.0,24.84,15.0,1,15,1
0.0,7.800000000000001,0.0,16.060000000000002,0.0,23.86,15.0,1,15,2
31.89,5.0200000000000005,0.32,53.43,0.0,26.240000000000002,14.0,1,15,3
0.0,7.800000000000001,0.0,15.940000000000001,0.0,23.740000000000002,14.0,1,15,4
0.0,7.800000000000001,0.0,15.530000000000001,0.0,23.330000000000002,14.0,1,15,5
35.03,4.8,0.27,54.69,0.0,24.19,13.0,1,15,6
0.0,7.84,0.0,14.280000000000001,0.0,22.12,13.0,1,15,7
0.0,8.16,0.0,15.600000000000001,0.0,23.76,13.0,1,15,8
17.99,29.31,45.81,50.339999999999996,0.19,16.04,13.0,1,15,9
0.0,487.31,494.47,13.07,0.9400000000000001,6.85,12.0,1,15,10
0.0,483.56,487.14,12.24,0.6,9.26,17.0,1,15,11
0.0,977.98,1017.23,50.08,2.5100000000000002,13.34,20.0,1,15,12
0.0,593.41,594.21,7.140000000000001,0.38,6.72,31.0,1,15,13
0.0,589.85,591.92,6.8100000000000005,0.83,5.57,37.0,1,15,14
1.08,301.29,331.78000000000003,44.71,0.31000000000000005,13.45,42.0,1,15,15
0.08,18.69,17.05,4.390000000000001,0.0,5.95,44.0,1,15,16
16.96,6.24,0.05,37.67,0.0,26.9,44.0,1,15,17
14.469999999999999,6.45,0.0,33.15,0.0,25.13,44.0,1,15,18
0.0,7.800000000000001,0.0,17.84,0.0,25.64,44.0,1,15,19
29.14,5.32,0.0,51.42,0.0,27.6,44.0,1,15,20
4.4,7.28,0.0,21.87,0.0,24.75,43.0,1,15,21
0.0,7.800000000000001,0.0,16.59,0.0,24.39,43.0,1,15,22
33.18,4.8100000000000005,0.0,53.89,0.0,25.52,43.0,1,15,23
0.0,7.800000000000001,0.0,15.6,0.0,23.4,42.0,1,16,0
0.0,7.800000000000001,0.0,16.17,0.0,23.97,42.0,1,16,1
32.31,4.75,0.08,53.4,0.0,25.76,42.0,1,16,2
0.0,8.01,0.0,16.265,0.0,24.275,41.0,1,16,3
0.0,7.800000000000001,0.0,15.75,0.0,23.55,41.0,1,16,4
32.22,4.86,0.0,53.27,0.0,25.91,41.0,1,16,5
0.0,7.800000000000001,0.0,16.060000000000002,0.0,23.86,40.0,1,16,6
0.0,7.78,0.0,16.200000000000003,0.0,23.98,40.0,1,16,7
31.41,4.91,0.0,53.71,0.0,27.21,40.0,1,16,8
0.25,13.51,9.33,13.48,0.07,17.48,39.0,1,16,9
0.13,147.02,155.43,14.6,0.45999999999999996,6.52,39.0,1,16,10
0.0,518.56,557.48,44.199999999999996,2.39,7.67,40.0,1,16,11
0.0,269.17,274.22,7.62,1.22,3.79,44.0,1,16,12
213.88,220.77,274.75,283.68,0.16,15.98,47.0,1,16,13
1656.02,0.0,320.74,2000.69,0.0,23.93,46.0,1,16,14
688.83,18.42,69.65,755.77,1.24,16.95,26.0,1,16,15
858.98,0.61,13.43,897.35,1.33,27.05,17.0,1,16,16
308.35,3.09,3.6,2271.15,0.0,1962.29,5.0,1,16,17
